"Time (s)","Pressure (hPa)","Altitude (m)","Time (velocity) (s)","Velocity (m/s)"
4.162883333E-1,9.959093475E2,0.000000000E0,9.165768333E-1,-6.437623253E-3
1.416865333E0,9.959101105E2,-6.441337762E-3,1.917154833E0,-1.094392850E-2
2.417444333E0,9.959114075E2,-1.739160279E-2,2.917731333E0,-2.446297952E-2
3.418018333E0,9.959143066E2,-4.186862406E-2,3.918306333E0,0.000000000E0
4.418594333E0,9.959143066E2,-4.186862406E-2,5.194356833E0,1.660640879E-3
5.970119333E0,9.959140015E2,-3.929209822E-2,6.470406833E0,8.368901264E-3
6.970694333E0,9.959130096E2,-3.091838484E-2,7.470983333E0,0.000000000E0
7.971272333E0,9.959130096E2,-3.091838484E-2,8.471560833E0,-2.317535603E-2
8.971849333E0,9.959157562E2,-5.410711305E-2,9.472136833E0,-3.598558571E-1
9.972424333E0,9.959584045E2,-4.141698873E-1,1.047271233E1,-6.179695954E-1
1.097300033E1,9.960316467E2,-1.032495433E0,1.147328933E1,-9.127234561E-1
1.197357833E1,9.961398315E2,-1.945746443E0,1.247386683E1,-1.230570389E0
1.297415533E1,9.962857056E2,-3.177026871E0,1.347444333E1,-1.444062205E0
1.397473133E1,9.964569092E2,-4.621920856E0,1.447502083E1,-1.444500381E0
1.497531033E1,9.966281891E2,-6.067257603E0,1.547559633E1,-1.505422831E0
1.597588233E1,9.968067169E2,-7.573541537E0,"",""